Date,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Temperature (°C),Wind Speed (m/s),Pressure (Pa)
2021/1/1 1:00 AM,14 °F,9 °F,79 %,W,9 mph,0 mph,29.75 in,0.0 in,Cloudy,-10.0,4.02336,100745.1025
2021/1/1 2:00 AM,14 °F,7 °F,73 %,WNW,9 mph,0 mph,29.77 in,0.0 in,Cloudy,-10.0,4.02336,100812.8303
2021/1/1 3:00 AM,14 °F,9 °F,79 %,W,7 mph,0 mph,29.81 in,0.0 in,Light Snow,-10.0,3.12928,100948.28589999999
2021/1/1 4:00 AM,12 °F,7 °F,79 %,NW,6 mph,0 mph,29.82 in,0.0 in,Light Snow,-11.11111111111111,2.68224,100982.1498
2021/1/1 5:00 AM,10 °F,7 °F,85 %,W,5 mph,0 mph,29.83 in,0.0 in,Light Snow,-12.222222222222221,2.2352,101016.0137
2021/1/1 6:00 AM,10 °F,7 °F,85 %,W,2 mph,0 mph,29.82 in,0.0 in,Light Snow,-12.222222222222221,0.89408,100982.1498
2021/1/1 7:00 AM,3 °F,0 °F,85 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy,-16.11111111111111,0.0,101016.0137
2021/1/1 8:00 AM,3 °F,0 °F,85 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,-16.11111111111111,0.0,101016.0137
2021/1/1 9:00 AM,3 °F,0 °F,85 %,CALM,0 mph,0 mph,29.82 in,0.0 in,Light Snow,-16.11111111111111,0.0,100982.1498
2021/1/1 9:18 AM,5 °F,1 °F,85 %,CALM,0 mph,0 mph,29.82 in,0.0 in,Light Snow,-15.0,0.0,100982.1498
2021/1/1 10:00 AM,7 °F,3 °F,85 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Light Snow,-13.88888888888889,0.0,101049.87759999999
2021/1/1 11:00 AM,10 °F,9 °F,92 %,CALM,0 mph,0 mph,29.85 in,0.0 in,Light Snow,-12.222222222222221,0.0,101083.7415
2021/1/1 12:00 PM,14 °F,9 °F,79 %,N,3 mph,0 mph,29.86 in,0.0 in,Light Snow,-10.0,1.34112,101117.6054
2021/1/1 1:00 PM,14 °F,10 °F,86 %,N,2 mph,0 mph,29.83 in,0.0 in,Light Snow,-10.0,0.89408,101016.0137
2021/1/1 1:46 PM,16 °F,10 °F,79 %,ESE,2 mph,0 mph,29.82 in,0.0 in,Partly Cloudy,-8.88888888888889,0.89408,100982.1498
2021/1/1 2:00 PM,16 °F,10 °F,79 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,-8.88888888888889,0.0,101016.0137
2021/1/1 3:00 PM,18 °F,10 °F,73 %,ESE,2 mph,0 mph,29.80 in,0.0 in,Fair,-7.777777777777778,0.89408,100914.42199999999
2021/1/1 4:00 PM,16 °F,10 °F,79 %,SE,3 mph,0 mph,29.77 in,0.0 in,Fair,-8.88888888888889,1.34112,100812.8303
2021/1/1 5:00 PM,14 °F,10 °F,86 %,CALM,0 mph,0 mph,29.77 in,0.0 in,Partly Cloudy,-10.0,0.0,100812.8303
2021/1/1 6:00 PM,12 °F,9 °F,85 %,CALM,0 mph,0 mph,29.76 in,0.0 in,Mostly Cloudy,-11.11111111111111,0.0,100778.9664
2021/1/1 7:00 PM,12 °F,9 °F,85 %,S,3 mph,0 mph,29.75 in,0.0 in,Cloudy,-11.11111111111111,1.34112,100745.1025
2021/1/1 8:00 PM,14 °F,10 °F,86 %,SE,5 mph,0 mph,29.72 in,0.0 in,Cloudy,-10.0,2.2352,100643.51079999999
2021/1/1 9:00 PM,16 °F,12 °F,86 %,E,7 mph,0 mph,29.69 in,0.0 in,Cloudy,-8.88888888888889,3.12928,100541.9191
2021/1/1 10:00 PM,16 °F,12 °F,86 %,E,5 mph,0 mph,29.67 in,0.0 in,Cloudy,-8.88888888888889,2.2352,100474.1913
2021/1/1 11:00 PM,16 °F,12 °F,86 %,ESE,7 mph,0 mph,29.64 in,0.0 in,Cloudy,-8.88888888888889,3.12928,100372.5996
